name,location,specialties,address
Shree Medical Center,"Thiruvananthapuram, Kerala",Thyroid:Cancer,"Devi Ganj, Thiruvananthapuram, Kerala 248262"
Shree Speciality Hospital,"Thiruvananthapuram, Kerala",Heart Problems:Gastroenterology:Liver:Thyroid:Neurology,"Dugar, Thiruvananthapuram, Kerala 188125"
Narayana Medical Center,"Kochi, Kerala",Neurology,"Balan Street, Kochi, Kerala 664742"
Max Speciality Hospital,"Hyderabad, Telangana",Heart Problems:Liver:Stroke:Cancer,"Chhabra Ganj, Hyderabad, Telangana 209949"
Medanta Speciality Hospital,"Vadodara, Gujarat",Kidney:Stroke,"Kashyap, Vadodara, Gujarat 305172"
Life Institute,"Kolkata, West Bengal",Orthopedics,"Singh Circle, Kolkata, West Bengal 267722"
Global Clinic,"Patna, Bihar",Liver:Cancer:Heart Problems:Stroke,"Kara Ganj, Patna, Bihar 604633"
Max Clinic,"New Delhi, Delhi",Stroke:Cancer:Liver:Kidney,"Bhatti Ganj, New Delhi, Delhi 797573"
Medanta Institute,"Jaipur, Rajasthan",Heart Problems:Diabetes:Liver,"Ravel Marg, Jaipur, Rajasthan 965699"
Apollo Health Care,"Hyderabad, Telangana",Kidney:Liver:Gastroenterology:Diabetes,"Yadav, Hyderabad, Telangana 817703"
Care Hospital,"Nagpur, Maharashtra",Heart Problems:Thyroid,"Yogi Circle, Nagpur, Maharashtra 086803"
Apollo Speciality Hospital,"Bangalore, Karnataka",Heart Problems:Stroke:Thyroid,"Sarraf Road, Bangalore, Karnataka 447264"
Care Health Care,"Lucknow, Uttar Pradesh",Neurology,"Bhagat, Lucknow, Uttar Pradesh 771812"
Max Health Care,"Chennai, Tamil Nadu",Gastroenterology:Diabetes,"Deshmukh, Chennai, Tamil Nadu 657027"
Apollo Clinic,"Patna, Bihar",Stroke,"Jaggi, Patna, Bihar 145211"
AIIMS Speciality Hospital,"Hyderabad, Telangana",Orthopedics:Diabetes,"Sengupta Zila, Hyderabad, Telangana 186892"
Shree Institute,"Pune, Maharashtra",Kidney,"Rai Marg, Pune, Maharashtra 259222"
AIIMS Hospital,"Vadodara, Gujarat",Liver:Neurology,"Behl Street, Vadodara, Gujarat 447421"
Medanta Speciality Hospital,"Visakhapatnam, Andhra Pradesh",Neurology:Diabetes:Orthopedics:Thyroid:Heart Problems,"Jain Street, Visakhapatnam, Andhra Pradesh 940777"
AIIMS Health Care,"Thiruvananthapuram, Kerala",Diabetes:Gastroenterology:Neurology,"Ahluwalia Circle, Thiruvananthapuram, Kerala 339776"
Life Health Care,"Chennai, Tamil Nadu",Heart Problems:Neurology:Liver:Thyroid,"Buch Chowk, Chennai, Tamil Nadu 384983"
Life Medical Center,"Pune, Maharashtra",Stroke:Orthopedics:Kidney,"Goyal Nagar, Pune, Maharashtra 050209"
Fortis Clinic,"Visakhapatnam, Andhra Pradesh",Orthopedics:Liver:Heart Problems:Gastroenterology,"Misra, Visakhapatnam, Andhra Pradesh 101622"
Narayana Clinic,"New Delhi, Delhi",Orthopedics,"Goel Road, New Delhi, Delhi 950145"
Shree Speciality Hospital,"Indore, Madhya Pradesh",Heart Problems,"Raghavan Path, Indore, Madhya Pradesh 681472"
Global Medical Center,"Chennai, Tamil Nadu",Diabetes:Liver,"Maharaj Zila, Chennai, Tamil Nadu 868339"
Max Clinic,"Mumbai, Maharashtra",Orthopedics,"Chopra Nagar, Mumbai, Maharashtra 794695"
Narayana Hospital,"Jaipur, Rajasthan",Orthopedics,"Vora Road, Jaipur, Rajasthan 299787"
Medanta Institute,"Kochi, Kerala",Cancer,"Gole Chowk, Kochi, Kerala 430107"
Max Health Care,"Chennai, Tamil Nadu",Orthopedics:Stroke:Heart Problems,"Johal Zila, Chennai, Tamil Nadu 605583"
Life Clinic,"Vadodara, Gujarat",Orthopedics:Stroke,"Jaggi Nagar, Vadodara, Gujarat 414488"
Apollo Clinic,"Ahmedabad, Gujarat",Diabetes,"Ahuja Path, Ahmedabad, Gujarat 556990"
Shree Speciality Hospital,"Hyderabad, Telangana",Liver,"Hari Street, Hyderabad, Telangana 577027"
Care Speciality Hospital,"Chennai, Tamil Nadu",Liver:Kidney:Neurology:Diabetes:Stroke,"Sharma Street, Chennai, Tamil Nadu 760849"
Life Institute,"Bhopal, Madhya Pradesh",Heart Problems:Thyroid:Diabetes:Stroke,"Wason Path, Bhopal, Madhya Pradesh 395512"
Life Institute,"Surat, Gujarat",Liver:Neurology,"Balasubramanian Road, Surat, Gujarat 682996"
Max Medical Center,"Mumbai, Maharashtra",Heart Problems:Cancer,"Dada Street, Mumbai, Maharashtra 504617"
Care Hospital,"Lucknow, Uttar Pradesh",Orthopedics:Liver:Gastroenterology:Kidney,"Prabhu Ganj, Lucknow, Uttar Pradesh 438421"
Life Clinic,"Bangalore, Karnataka",Neurology,"Barad Path, Bangalore, Karnataka 178078"
Fortis Medical Center,"Patna, Bihar",Thyroid,"Gupta Street, Patna, Bihar 784521"
Care Institute,"Thiruvananthapuram, Kerala",Thyroid:Orthopedics:Heart Problems,"Deo Circle, Thiruvananthapuram, Kerala 076810"
Life Hospital,"Lucknow, Uttar Pradesh",Thyroid:Orthopedics:Liver:Heart Problems,"Basu Road, Lucknow, Uttar Pradesh 570184"
Max Medical Center,"Chennai, Tamil Nadu",Stroke:Liver:Orthopedics,"Muni Nagar, Chennai, Tamil Nadu 533448"
Fortis Institute,"Hyderabad, Telangana",Cancer:Orthopedics:Thyroid,"Sastry Path, Hyderabad, Telangana 422410"
Shree Hospital,"Kolkata, West Bengal",Heart Problems:Thyroid:Gastroenterology,"Varkey, Kolkata, West Bengal 385854"
Max Hospital,"Kochi, Kerala",Gastroenterology:Stroke:Orthopedics:Thyroid,"Mander Street, Kochi, Kerala 214958"
Max Clinic,"Jaipur, Rajasthan",Stroke:Diabetes:Heart Problems:Kidney,"Bedi Chowk, Jaipur, Rajasthan 070160"
Narayana Medical Center,"Ahmedabad, Gujarat",Gastroenterology:Kidney,"Sandhu Zila, Ahmedabad, Gujarat 299795"
Life Health Care,"Ahmedabad, Gujarat",Kidney:Diabetes:Thyroid,"Natarajan Road, Ahmedabad, Gujarat 817921"
Narayana Health Care,"Bangalore, Karnataka",Kidney,"Chatterjee Chowk, Bangalore, Karnataka 477332"
Apollo Speciality Hospital,"New Delhi, Delhi",Liver:Gastroenterology:Thyroid:Kidney,"Kuruvilla, New Delhi, Delhi 625577"
Shree Medical Center,"Surat, Gujarat",Liver:Orthopedics:Cancer:Neurology,"Bhattacharyya Nagar, Surat, Gujarat 157724"
Max Hospital,"Jaipur, Rajasthan",Neurology:Diabetes:Stroke:Kidney:Heart Problems,"Datta Path, Jaipur, Rajasthan 615814"
Life Institute,"Kolkata, West Bengal",Gastroenterology:Diabetes:Kidney:Neurology:Liver,"Shenoy Circle, Kolkata, West Bengal 963938"
Medanta Health Care,"Lucknow, Uttar Pradesh",Gastroenterology:Cancer,"Subramaniam Street, Lucknow, Uttar Pradesh 153966"
AIIMS Clinic,"Lucknow, Uttar Pradesh",Orthopedics:Thyroid:Diabetes:Stroke:Kidney,"Oommen, Lucknow, Uttar Pradesh 219719"
Medanta Medical Center,"Nagpur, Maharashtra",Orthopedics:Cancer:Neurology:Gastroenterology,"Sheth, Nagpur, Maharashtra 817246"
Apollo Hospital,"New Delhi, Delhi",Gastroenterology:Liver:Orthopedics,"Chopra Zila, New Delhi, Delhi 570132"
Apollo Clinic,"Visakhapatnam, Andhra Pradesh",Diabetes:Thyroid:Heart Problems,"Acharya, Visakhapatnam, Andhra Pradesh 278469"
Shree Medical Center,"Indore, Madhya Pradesh",Gastroenterology:Stroke:Thyroid,"Sekhon, Indore, Madhya Pradesh 354946"
Shree Clinic,"Chennai, Tamil Nadu",Stroke:Diabetes:Neurology:Heart Problems:Liver,"Chakraborty Path, Chennai, Tamil Nadu 986240"
Medanta Speciality Hospital,"Nagpur, Maharashtra",Neurology:Gastroenterology:Diabetes,"Bera Path, Nagpur, Maharashtra 851403"
Apollo Speciality Hospital,"Thiruvananthapuram, Kerala",Orthopedics:Diabetes:Thyroid:Liver,"Ramesh Marg, Thiruvananthapuram, Kerala 666683"
Life Institute,"Vadodara, Gujarat",Cancer:Liver:Thyroid:Kidney,"Soman Street, Vadodara, Gujarat 386562"
Life Speciality Hospital,"Pune, Maharashtra",Thyroid:Orthopedics,"Dass Road, Pune, Maharashtra 010276"
Shree Health Care,"Indore, Madhya Pradesh",Thyroid:Neurology:Cancer:Heart Problems:Liver,"Chad Street, Indore, Madhya Pradesh 679692"
Care Speciality Hospital,"Mumbai, Maharashtra",Liver:Heart Problems:Stroke:Orthopedics,"Upadhyay Chowk, Mumbai, Maharashtra 876532"
Care Health Care,"Pune, Maharashtra",Kidney:Gastroenterology,"Amble Marg, Pune, Maharashtra 384689"
Apollo Clinic,"Vadodara, Gujarat",Kidney:Liver:Gastroenterology:Thyroid:Orthopedics,"Bandi Path, Vadodara, Gujarat 975197"
Shree Speciality Hospital,"Pune, Maharashtra",Heart Problems:Cancer,"Dhar Zila, Pune, Maharashtra 781891"
Shree Clinic,"Indore, Madhya Pradesh",Cancer:Thyroid:Neurology:Stroke:Heart Problems,"Sodhi Ganj, Indore, Madhya Pradesh 894905"
Care Speciality Hospital,"Visakhapatnam, Andhra Pradesh",Heart Problems:Diabetes:Neurology:Cancer,"Apte Circle, Visakhapatnam, Andhra Pradesh 787956"
Global Clinic,"Pune, Maharashtra",Heart Problems:Thyroid:Stroke:Orthopedics:Liver,"Menon Path, Pune, Maharashtra 209494"
AIIMS Institute,"Coimbatore, Tamil Nadu",Heart Problems:Kidney:Orthopedics:Liver,"Solanki Nagar, Coimbatore, Tamil Nadu 904904"
Medanta Health Care,"Vadodara, Gujarat",Heart Problems:Gastroenterology:Thyroid:Liver:Diabetes,"Butala Chowk, Vadodara, Gujarat 814429"
Medanta Health Care,"Bangalore, Karnataka",Neurology:Orthopedics:Gastroenterology,"Maharaj Road, Bangalore, Karnataka 019292"
Narayana Health Care,"Bangalore, Karnataka",Cancer:Kidney:Diabetes:Orthopedics,"Pingle Chowk, Bangalore, Karnataka 437280"
Narayana Health Care,"Indore, Madhya Pradesh",Diabetes,"Chad Path, Indore, Madhya Pradesh 927663"
Fortis Health Care,"Bangalore, Karnataka",Orthopedics:Gastroenterology:Neurology:Diabetes,"Ganesh Chowk, Bangalore, Karnataka 950410"
Medanta Institute,"Jaipur, Rajasthan",Stroke:Orthopedics:Heart Problems,"Shetty Street, Jaipur, Rajasthan 747836"
Narayana Hospital,"Visakhapatnam, Andhra Pradesh",Heart Problems:Thyroid:Kidney:Cancer:Gastroenterology,"Som Marg, Visakhapatnam, Andhra Pradesh 286047"
Shree Institute,"Mumbai, Maharashtra",Cancer:Neurology:Heart Problems,"Mutti Marg, Mumbai, Maharashtra 185694"
Shree Institute,"Kochi, Kerala",Gastroenterology:Kidney:Orthopedics,"Madan Path, Kochi, Kerala 149673"
Max Clinic,"Indore, Madhya Pradesh",Liver:Heart Problems:Cancer:Gastroenterology,"Hayer, Indore, Madhya Pradesh 258001"
Narayana Medical Center,"Surat, Gujarat",Orthopedics:Kidney:Heart Problems:Stroke:Diabetes,"Sabharwal Nagar, Surat, Gujarat 817534"
Narayana Health Care,"Vadodara, Gujarat",Heart Problems:Orthopedics,"Hans Road, Vadodara, Gujarat 091093"
Shree Institute,"Vadodara, Gujarat",Cancer:Kidney,"Dara, Vadodara, Gujarat 192692"
Apollo Speciality Hospital,"Patna, Bihar",Gastroenterology:Kidney:Cancer,"Gour Zila, Patna, Bihar 471746"
AIIMS Hospital,"New Delhi, Delhi",Neurology,"Kurian Path, New Delhi, Delhi 140665"
Narayana Speciality Hospital,"Hyderabad, Telangana",Orthopedics,"Kuruvilla Nagar, Hyderabad, Telangana 271739"
Life Hospital,"Indore, Madhya Pradesh",Orthopedics:Stroke:Cancer:Diabetes,"Gokhale Marg, Indore, Madhya Pradesh 128639"
Fortis Health Care,"Vadodara, Gujarat",Kidney:Diabetes,"Sathe Zila, Vadodara, Gujarat 101194"
Max Health Care,"Nagpur, Maharashtra",Cancer:Diabetes:Gastroenterology,"Bahl Chowk, Nagpur, Maharashtra 200642"
Narayana Institute,"Thiruvananthapuram, Kerala",Orthopedics,"Raman Path, Thiruvananthapuram, Kerala 877661"
Care Clinic,"Mumbai, Maharashtra",Thyroid,"Kara Circle, Mumbai, Maharashtra 671985"
Fortis Speciality Hospital,"Ahmedabad, Gujarat",Gastroenterology:Cancer:Diabetes,"Mitter Path, Ahmedabad, Gujarat 015851"
Fortis Clinic,"Pune, Maharashtra",Heart Problems:Thyroid,"Mann Chowk, Pune, Maharashtra 280634"
Medanta Medical Center,"Pune, Maharashtra",Liver,"Chhabra Marg, Pune, Maharashtra 717320"
Shree Clinic,"Visakhapatnam, Andhra Pradesh",Heart Problems:Kidney:Gastroenterology:Neurology:Diabetes,"Bakshi Ganj, Visakhapatnam, Andhra Pradesh 761847"
Narayana Clinic,"Surat, Gujarat",Orthopedics:Stroke,"Sengupta Circle, Surat, Gujarat 050506"
Apollo Institute,"Indore, Madhya Pradesh",Diabetes:Orthopedics,"Kakar Zila, Indore, Madhya Pradesh 829310"
Narayana Health Care,"Thiruvananthapuram, Kerala",Diabetes:Cancer:Orthopedics,"Suresh Street, Thiruvananthapuram, Kerala 790320"
AIIMS Health Care,"New Delhi, Delhi",Cancer:Neurology:Gastroenterology:Kidney,"Bedi Street, New Delhi, Delhi 179291"
Apollo Hospital,"Patna, Bihar",Cancer:Gastroenterology:Kidney:Diabetes,"Comar Zila, Patna, Bihar 993136"
Apollo Clinic,"Ahmedabad, Gujarat",Liver:Heart Problems:Diabetes:Stroke,"Ratti Path, Ahmedabad, Gujarat 198253"
Care Hospital,"Chennai, Tamil Nadu",Thyroid:Stroke:Neurology:Orthopedics,"Ghose Nagar, Chennai, Tamil Nadu 114262"
Medanta Institute,"Patna, Bihar",Thyroid,"Gala Path, Patna, Bihar 390219"
Fortis Hospital,"Bangalore, Karnataka",Thyroid:Stroke:Neurology:Heart Problems,"Dugar Marg, Bangalore, Karnataka 710021"
Global Clinic,"Coimbatore, Tamil Nadu",Thyroid:Liver:Kidney:Orthopedics:Diabetes,"Mander, Coimbatore, Tamil Nadu 723248"
Medanta Institute,"Vadodara, Gujarat",Cancer:Neurology:Heart Problems,"Sabharwal Chowk, Vadodara, Gujarat 290927"
Life Hospital,"Jaipur, Rajasthan",Heart Problems:Liver,"Chakrabarti, Jaipur, Rajasthan 560833"
Care Speciality Hospital,"Indore, Madhya Pradesh",Kidney:Cancer:Thyroid,"Wagle Zila, Indore, Madhya Pradesh 958837"
Global Institute,"Nagpur, Maharashtra",Heart Problems:Cancer:Thyroid:Diabetes,"Malhotra Ganj, Nagpur, Maharashtra 312772"
Care Institute,"Patna, Bihar",Heart Problems:Stroke:Orthopedics:Liver:Neurology,"Bassi Street, Patna, Bihar 543645"
Fortis Hospital,"Visakhapatnam, Andhra Pradesh",Liver:Orthopedics,"Setty, Visakhapatnam, Andhra Pradesh 108220"
Care Institute,"Mumbai, Maharashtra",Kidney,"Varma Chowk, Mumbai, Maharashtra 137995"
Apollo Clinic,"Kolkata, West Bengal",Liver,"Issac Marg, Kolkata, West Bengal 315313"
Apollo Institute,"Hyderabad, Telangana",Cancer:Gastroenterology:Liver,"Iyengar Marg, Hyderabad, Telangana 317970"
Fortis Hospital,"Surat, Gujarat",Orthopedics,"Dhillon Marg, Surat, Gujarat 972652"
Fortis Hospital,"Hyderabad, Telangana",Heart Problems:Gastroenterology:Liver:Cancer,"Hari Chowk, Hyderabad, Telangana 435209"
Life Speciality Hospital,"Vadodara, Gujarat",Stroke:Cancer:Thyroid:Diabetes:Liver,"Mand Nagar, Vadodara, Gujarat 177625"
Care Health Care,"Surat, Gujarat",Orthopedics:Thyroid:Kidney:Diabetes,"Merchant Ganj, Surat, Gujarat 929831"
Fortis Speciality Hospital,"Nagpur, Maharashtra",Thyroid,"Vig Marg, Nagpur, Maharashtra 397740"
Care Clinic,"Nagpur, Maharashtra",Thyroid:Cancer:Orthopedics:Kidney:Liver,"Koshy Marg, Nagpur, Maharashtra 569392"
Apollo Speciality Hospital,"Visakhapatnam, Andhra Pradesh",Diabetes:Thyroid:Liver:Heart Problems:Neurology,"Ahluwalia, Visakhapatnam, Andhra Pradesh 007806"
Max Speciality Hospital,"Thiruvananthapuram, Kerala",Stroke,"Ramesh Circle, Thiruvananthapuram, Kerala 177318"
Global Medical Center,"Jaipur, Rajasthan",Heart Problems:Thyroid:Stroke,"Ray Nagar, Jaipur, Rajasthan 254310"
Shree Institute,"New Delhi, Delhi",Kidney:Stroke:Liver:Orthopedics:Neurology,"Mody Chowk, New Delhi, Delhi 799077"
Narayana Institute,"Coimbatore, Tamil Nadu",Gastroenterology:Thyroid:Cancer,"Ravi Street, Coimbatore, Tamil Nadu 570165"
Narayana Institute,"Vadodara, Gujarat",Neurology,"Bali Circle, Vadodara, Gujarat 649893"
Fortis Clinic,"Coimbatore, Tamil Nadu",Thyroid:Liver:Cancer:Orthopedics,"Nayak Zila, Coimbatore, Tamil Nadu 850165"
Fortis Medical Center,"Kochi, Kerala",Cancer:Kidney:Liver:Orthopedics:Thyroid,"Baria Chowk, Kochi, Kerala 528183"
Global Health Care,"Kolkata, West Bengal",Diabetes:Neurology:Thyroid:Orthopedics,"Natt Street, Kolkata, West Bengal 817933"
Shree Health Care,"Hyderabad, Telangana",Thyroid,"Pandit Path, Hyderabad, Telangana 864015"
Care Medical Center,"Ahmedabad, Gujarat",Kidney:Thyroid:Neurology,"Sethi Path, Ahmedabad, Gujarat 881788"
Max Speciality Hospital,"Kochi, Kerala",Liver:Heart Problems:Stroke:Thyroid:Neurology,"Seth Road, Kochi, Kerala 137116"
Medanta Clinic,"Bangalore, Karnataka",Heart Problems:Gastroenterology:Orthopedics,"Mani Street, Bangalore, Karnataka 124127"
Global Institute,"Coimbatore, Tamil Nadu",Diabetes:Liver:Kidney:Heart Problems:Thyroid,"Jayaraman Street, Coimbatore, Tamil Nadu 468275"
Apollo Clinic,"Thiruvananthapuram, Kerala",Cancer:Gastroenterology,"Sawhney Marg, Thiruvananthapuram, Kerala 431038"
Max Health Care,"Vadodara, Gujarat",Gastroenterology:Heart Problems:Orthopedics,"Sabharwal Path, Vadodara, Gujarat 579887"
Narayana Health Care,"Surat, Gujarat",Gastroenterology,"Modi Chowk, Surat, Gujarat 424375"
AIIMS Speciality Hospital,"Bhopal, Madhya Pradesh",Cancer:Orthopedics:Stroke:Neurology:Liver,"Batta Road, Bhopal, Madhya Pradesh 547292"
AIIMS Speciality Hospital,"Jaipur, Rajasthan",Thyroid:Liver,"Mangal Circle, Jaipur, Rajasthan 222310"
Apollo Institute,"Bhopal, Madhya Pradesh",Thyroid:Stroke,"Date Path, Bhopal, Madhya Pradesh 452380"
Fortis Health Care,"Kolkata, West Bengal",Stroke,"Padmanabhan Path, Kolkata, West Bengal 578284"
Life Institute,"Jaipur, Rajasthan",Heart Problems:Kidney:Orthopedics:Stroke,"Bakshi Zila, Jaipur, Rajasthan 727520"
Apollo Medical Center,"New Delhi, Delhi",Orthopedics:Thyroid:Kidney:Stroke,"Tripathi Circle, New Delhi, Delhi 474929"
Medanta Medical Center,"Indore, Madhya Pradesh",Kidney:Gastroenterology:Heart Problems:Cancer,"Nigam Chowk, Indore, Madhya Pradesh 702814"
Max Health Care,"Bangalore, Karnataka",Cancer,"Ratti Nagar, Bangalore, Karnataka 751509"
Fortis Health Care,"Pune, Maharashtra",Liver:Thyroid,"Vyas Ganj, Pune, Maharashtra 430187"
AIIMS Hospital,"Thiruvananthapuram, Kerala",Neurology:Kidney:Cancer:Thyroid:Stroke,"Vala Zila, Thiruvananthapuram, Kerala 375998"
Fortis Hospital,"Patna, Bihar",Orthopedics:Stroke:Kidney:Diabetes:Heart Problems,"Patel Nagar, Patna, Bihar 265650"
Fortis Institute,"Lucknow, Uttar Pradesh",Diabetes,"Pai Road, Lucknow, Uttar Pradesh 478137"
AIIMS Clinic,"Nagpur, Maharashtra",Heart Problems:Cancer:Orthopedics,"Savant Marg, Nagpur, Maharashtra 266299"
Narayana Institute,"Bhopal, Madhya Pradesh",Diabetes:Stroke:Liver:Thyroid,"Dhawan Zila, Bhopal, Madhya Pradesh 478519"
Shree Clinic,"Chennai, Tamil Nadu",Liver:Diabetes:Stroke:Orthopedics,"Chakrabarti Marg, Chennai, Tamil Nadu 646287"
Care Clinic,"Indore, Madhya Pradesh",Kidney:Cancer:Diabetes:Liver,"Devan, Indore, Madhya Pradesh 264870"
Shree Medical Center,"Vadodara, Gujarat",Stroke:Diabetes:Liver:Orthopedics,"Modi Road, Vadodara, Gujarat 873002"
Global Institute,"Patna, Bihar",Kidney:Diabetes:Neurology:Stroke:Gastroenterology,"Mital Road, Patna, Bihar 146273"
Max Clinic,"Ahmedabad, Gujarat",Heart Problems:Gastroenterology:Orthopedics:Thyroid,"Dar Nagar, Ahmedabad, Gujarat 719597"
Global Speciality Hospital,"Vadodara, Gujarat",Diabetes:Neurology:Orthopedics,"Sarin, Vadodara, Gujarat 715890"
Care Institute,"Nagpur, Maharashtra",Diabetes:Thyroid:Liver,"Gaba Road, Nagpur, Maharashtra 257252"
Life Clinic,"Bangalore, Karnataka",Neurology:Heart Problems:Stroke:Cancer,"Mahajan Nagar, Bangalore, Karnataka 650448"
AIIMS Hospital,"Mumbai, Maharashtra",Stroke:Heart Problems:Cancer:Orthopedics,"Varkey Zila, Mumbai, Maharashtra 219285"
Apollo Health Care,"Thiruvananthapuram, Kerala",Heart Problems:Neurology:Diabetes:Kidney,"Mitra Path, Thiruvananthapuram, Kerala 518952"
Fortis Hospital,"Chennai, Tamil Nadu",Kidney,"Devan Nagar, Chennai, Tamil Nadu 576521"
Max Institute,"Jaipur, Rajasthan",Cancer:Heart Problems:Kidney:Orthopedics:Stroke,"Dubey Ganj, Jaipur, Rajasthan 389888"
Care Institute,"Hyderabad, Telangana",Cancer:Orthopedics:Gastroenterology:Diabetes,"Sahni Zila, Hyderabad, Telangana 112075"
AIIMS Clinic,"Visakhapatnam, Andhra Pradesh",Neurology,"Patil Road, Visakhapatnam, Andhra Pradesh 798524"
Apollo Medical Center,"Patna, Bihar",Liver:Heart Problems:Diabetes,"Dani Nagar, Patna, Bihar 223423"
Shree Hospital,"Mumbai, Maharashtra",Diabetes:Kidney:Orthopedics:Cancer,"Brar Street, Mumbai, Maharashtra 110760"
Care Clinic,"Bhopal, Madhya Pradesh",Kidney:Neurology:Liver,"Chokshi Ganj, Bhopal, Madhya Pradesh 890714"
Narayana Health Care,"Bhopal, Madhya Pradesh",Cancer:Orthopedics,"Bhatti Nagar, Bhopal, Madhya Pradesh 011939"
AIIMS Speciality Hospital,"Ahmedabad, Gujarat",Stroke:Orthopedics:Neurology:Heart Problems:Gastroenterology,"Goyal Ganj, Ahmedabad, Gujarat 012495"
Fortis Clinic,"Thiruvananthapuram, Kerala",Diabetes:Orthopedics:Heart Problems,"Dyal Path, Thiruvananthapuram, Kerala 891190"
Care Institute,"Indore, Madhya Pradesh",Diabetes:Gastroenterology:Cancer:Kidney:Neurology,"Kalla Circle, Indore, Madhya Pradesh 428013"
Fortis Hospital,"Hyderabad, Telangana",Orthopedics:Thyroid,"Soman Circle, Hyderabad, Telangana 927125"
AIIMS Clinic,"Vadodara, Gujarat",Heart Problems:Stroke:Gastroenterology:Cancer,"Samra Marg, Vadodara, Gujarat 836151"
Care Hospital,"Kochi, Kerala",Neurology:Gastroenterology:Kidney:Diabetes,"Choudhary Chowk, Kochi, Kerala 754801"
AIIMS Clinic,"Patna, Bihar",Stroke:Heart Problems:Neurology:Cancer,"Tak Path, Patna, Bihar 647947"
Apollo Clinic,"Thiruvananthapuram, Kerala",Stroke:Diabetes:Kidney:Heart Problems,"Reddy Ganj, Thiruvananthapuram, Kerala 631752"
Life Medical Center,"Hyderabad, Telangana",Heart Problems:Liver:Gastroenterology:Neurology,"Swamy Nagar, Hyderabad, Telangana 678112"
AIIMS Speciality Hospital,"Bangalore, Karnataka",Neurology,"Rattan Marg, Bangalore, Karnataka 215353"
Max Health Care,"Indore, Madhya Pradesh",Liver:Thyroid:Orthopedics:Heart Problems,"Raval, Indore, Madhya Pradesh 367499"
Global Institute,"Visakhapatnam, Andhra Pradesh",Liver:Thyroid:Orthopedics:Heart Problems:Stroke,"Ratta Road, Visakhapatnam, Andhra Pradesh 796784"
Max Institute,"Mumbai, Maharashtra",Heart Problems:Kidney:Liver:Gastroenterology:Diabetes,"Sha Street, Mumbai, Maharashtra 147732"
Life Health Care,"Vadodara, Gujarat",Stroke,"Chaudhary Nagar, Vadodara, Gujarat 170269"
Life Health Care,"Vadodara, Gujarat",Kidney:Thyroid,"Dua Path, Vadodara, Gujarat 991187"
Care Clinic,"Hyderabad, Telangana",Liver:Orthopedics,"Jaggi Chowk, Hyderabad, Telangana 778485"
Care Hospital,"Jaipur, Rajasthan",Neurology:Orthopedics:Heart Problems:Liver:Thyroid,"Badami Circle, Jaipur, Rajasthan 616756"
Medanta Hospital,"Vadodara, Gujarat",Cancer:Thyroid:Orthopedics:Gastroenterology,"Sharaf Chowk, Vadodara, Gujarat 028427"
Medanta Hospital,"Kolkata, West Bengal",Orthopedics:Neurology:Diabetes,"Desai Marg, Kolkata, West Bengal 671978"
Medanta Clinic,"Surat, Gujarat",Liver:Stroke,"Singhal Circle, Surat, Gujarat 828064"
Apollo Clinic,"Lucknow, Uttar Pradesh",Orthopedics:Stroke:Thyroid:Cancer:Liver,"Purohit Chowk, Lucknow, Uttar Pradesh 450090"
Shree Health Care,"Kochi, Kerala",Orthopedics,"Peri Street, Kochi, Kerala 905616"
Global Clinic,"Bangalore, Karnataka",Thyroid,"Parikh Path, Bangalore, Karnataka 503334"
Care Medical Center,"Surat, Gujarat",Cancer:Liver:Diabetes,"Chad, Surat, Gujarat 415208"
Fortis Institute,"Hyderabad, Telangana",Gastroenterology:Thyroid:Orthopedics,"Barad Path, Hyderabad, Telangana 698640"
Fortis Institute,"Chennai, Tamil Nadu",Thyroid:Heart Problems:Stroke:Neurology:Liver,"Bains Chowk, Chennai, Tamil Nadu 696591"
Global Health Care,"Coimbatore, Tamil Nadu",Liver:Heart Problems:Diabetes,"Chaudhry Chowk, Coimbatore, Tamil Nadu 578529"
Medanta Hospital,"Jaipur, Rajasthan",Liver:Neurology:Stroke,"Patla Road, Jaipur, Rajasthan 371834"
Max Speciality Hospital,"Chennai, Tamil Nadu",Diabetes:Thyroid:Cancer,"Batta Road, Chennai, Tamil Nadu 963919"
Life Clinic,"Visakhapatnam, Andhra Pradesh",Cancer:Thyroid,"Nayar Zila, Visakhapatnam, Andhra Pradesh 198763"
Narayana Clinic,"Coimbatore, Tamil Nadu",Liver:Diabetes:Stroke,"Bose Path, Coimbatore, Tamil Nadu 846853"
Shree Medical Center,"Thiruvananthapuram, Kerala",Kidney:Heart Problems,"Ratti Marg, Thiruvananthapuram, Kerala 987820"
Care Institute,"Kochi, Kerala",Gastroenterology:Liver:Heart Problems:Cancer,"Grover Circle, Kochi, Kerala 374896"
Life Health Care,"Indore, Madhya Pradesh",Liver,"Bhasin, Indore, Madhya Pradesh 572324"
Care Medical Center,"Nagpur, Maharashtra",Orthopedics:Stroke:Cancer:Liver:Gastroenterology,"Roy Marg, Nagpur, Maharashtra 136442"
Care Health Care,"Bhopal, Madhya Pradesh",Heart Problems,"Keer Road, Bhopal, Madhya Pradesh 312303"
Apollo Medical Center,"Pune, Maharashtra",Cancer:Neurology,"Shetty Road, Pune, Maharashtra 866032"
Apollo Speciality Hospital,"Patna, Bihar",Orthopedics:Gastroenterology:Stroke:Kidney:Thyroid,"Deshpande Road, Patna, Bihar 448207"
